,0,1,2,3,4,5,6,7,8
137,2007.0,5.0,387314.3,5872.8,393187.1,135963.5,187020.15,322983.65,716170.75
138,2007.0,6.0,382247.05,5326.2,387573.25,129591.75,199154.4,328746.15,716319.4
139,2007.0,7.0,374225.9,4801.2,379027.1,137352.0,198331.1,335683.1,714710.2
140,2007.0,8.0,403658.8,4255.95,407914.75,135716.7,198932.05,334648.75,742563.5
141,2007.0,9.0,385529.75,8418.2,393947.95,146906.75,194691.55,341598.3,735546.25
142,2007.0,10.0,375271.45,7969.3,383240.75,145227.75,207871.65,353099.4,736340.15
143,2007.0,11.0,340075.65,6064.8,346140.45,148124.0,167137.85,315261.85,661402.3
144,2008.0,0.0,343529.2,3612.75,347141.95,147949.75,157144.5,305094.25,652236.2
145,2008.0,1.0,318444.95,4533.6,322978.55,154127.15,136620.0,290747.15,613725.7
146,2008.0,2.0,295955.6,5332.7,301288.3,154980.3,127654.4,282634.7,583923.0
147,2008.0,3.0,328403.4,3437.25,331840.65,147056.25,126569.45,273625.7,605466.35
148,2008.0,4.0,371026.95,5760.0,376786.95,164061.75,145999.1,310060.85,686847.8
149,2008.0,5.0,339102.25,7689.3,346791.55,150852.15,134636.4,285488.55,632280.1
150,2008.0,6.0,367496.5,9449.35,376945.85,173650.5,147562.95,321213.45,698159.3
151,2008.0,7.0,401137.35,7098.95,408236.3,175262.5,173570.05,348832.55,757068.85
152,2008.0,8.0,367159.25,6192.0,373351.25,143470.75,176067.9,319538.65,692889.9
153,2008.0,9.0,370986.9,6286.05,377272.95,134784.5,194250.8,329035.3,706308.25
154,2008.0,10.0,338905.3,6859.55,345764.85,126602.25,187679.4,314281.65,660046.5
155,2008.0,11.0,296442.7,6317.5,302760.2,109704.5,148568.55,258273.05,561033.25
156,2009.0,0.0,317493.1,2886.0,320379.1,104503.25,162121.85,266625.1,587004.2
157,2009.0,1.0,206034.5,2144.0,208178.5,111595.25,94136.55,205731.8,413910.3
158,2009.0,2.0,277569.8,4123.35,281693.15,139774.5,105019.4,244793.9,526487.05
159,2009.0,3.0,279194.15,2480.1,281674.25,140829.0,109620.9,250449.9,532124.15
160,2009.0,4.0,304109.9,2054.85,306164.75,152471.75,116191.3,268663.05,574827.8
161,2009.0,5.0,281175.05,2807.75,283982.8,137214.4,130482.5,267696.9,551679.7
162,2009.0,6.0,305225.75,2682.0,307907.75,138268.75,130026.75,268295.5,576203.25
163,2009.0,7.0,323629.2,3276.55,326905.75,150341.5,135334.25,285675.75,612581.5
164,2009.0,8.0,309078.3,4208.65,313286.95,140271.0,129999.05,270270.05,583557.0
165,2009.0,9.0,338734.75,3677.85,342412.6,150656.75,154354.35,305011.1,647423.7
166,2009.0,10.0,298777.4,4717.35,303494.75,149147.9,127563.5,276711.4,580206.15
167,2009.0,11.0,283364.4,5646.45,289010.85,153836.5,120142.4,273978.9,562989.75
168,2010.0,0.0,296304.95,6387.95,302692.9,141243.5,129032.75,270276.25,572969.15
169,2010.0,1.0,267361.15,7578.65,274939.8,147925.6,102593.2,250518.8,525458.6
170,2010.0,2.0,269634.1,12114.7,281748.8,161816.75,106684.25,268501.0,550249.8
171,2010.0,3.0,302224.6,9118.45,311343.05,158338.0,125602.65,283940.65,595283.7
172,2010.0,4.0,342171.1,9566.25,351737.35,160621.25,177062.1,337683.35,689420.7
173,2010.0,5.0,371888.6,7078.45,378967.05,154558.0,196792.8,351350.8,730317.85
174,2010.0,6.0,369388.9,6412.0,375800.9,146368.75,208575.95,354944.7,730745.6
175,2010.0,7.0,399150.65,7540.75,406691.4,147608.75,209537.05,357145.8,763837.2
176,2010.0,8.0,373249.35,6535.1,379784.45,139800.25,192028.3,331828.55,711613.0
